W,L,Seed,Goodput_Mbps,Retransmissions,Duration_Sec
16,2048,6,0.13981071999802994,5158,6000.000000084546
16,2048,7,0.13981071999802994,4618,6000.000000084546
16,2048,8,0.13981071999802994,4599,6000.000000084546
16,2048,9,0.13981071999802994,4799,6000.000000084546
16,4096,0,0.13981505066469654,2355,6000.000000084546
16,4096,1,0.13981505066469654,2604,6000.000000084546
16,4096,2,0.13981505066469654,2774,6000.000000084546
16,4096,3,0.13981505066469654,3271,6000.000000084546
16,4096,4,0.13981505066469654,2486,6000.000000084546
16,4096,5,0.13981505066469654,3284,6000.000000084546
16,4096,6,0.13981505066469654,3126,6000.000000084546
16,4096,7,0.13981505066469654,3083,6000.000000084546
16,4096,8,0.13981505066469654,2986,6000.000000084546
16,4096,9,0.13981505066469654,2528,6000.000000084546
32,128,0,0.13981023999802994,62740,6000.000000084546
32,128,1,0.13981023999802994,65114,6000.000000084546
32,128,2,0.13981023999802994,64251,6000.000000084546
32,128,3,0.13981023999802994,63497,6000.000000084546
32,128,4,0.13981023999802994,64270,6000.000000084546
32,128,5,0.13981023999802994,64396,6000.000000084546
32,128,6,0.13981023999802994,67395,6000.000000084546
32,128,7,0.13981023999802994,65366,6000.000000084546
32,128,8,0.13981023999802994,60923,6000.000000084546
32,128,9,0.13981023999802994,64343,6000.000000084546
32,256,0,0.13981016533136326,30198,6000.000000084546
32,256,1,0.13981016533136326,31996,6000.000000084546
32,256,2,0.13981016533136326,31842,6000.000000084546
32,256,3,0.13981016533136326,30674,6000.000000084546
32,256,4,0.13981016533136326,30510,6000.000000084546
32,256,5,0.13981016533136326,31333,6000.000000084546
32,256,6,0.13981016533136326,33491,6000.000000084546
32,256,7,0.13981016533136326,32343,6000.000000084546
32,256,8,0.13981016533136326,30314,6000.000000084546
32,256,9,0.13981016533136326,30486,6000.000000084546
32,512,0,0.13981027199802992,15619,6000.000000084546
32,512,1,0.13981027199802992,15327,6000.000000084546
32,512,2,0.13981027199802992,16015,6000.000000084546
32,512,3,0.13981027199802992,15694,6000.000000084546
32,512,4,0.13981027199802992,15226,6000.000000084546
32,512,5,0.13981027199802992,16270,6000.000000084546
32,512,6,0.13981027199802992,17110,6000.000000084546
32,512,7,0.13981027199802992,15245,6000.000000084546
32,512,8,0.13981027199802992,16020,6000.000000084546
32,512,9,0.13981027199802992,15275,6000.000000084546
32,1024,0,0.13981108266469658,8174,6000.000000084546
32,1024,1,0.13981108266469658,8021,6000.000000084546
32,1024,2,0.13981108266469658,8656,6000.000000084546
32,1024,3,0.13981108266469658,8498,6000.000000084546
32,1024,4,0.13981108266469658,7753,6000.000000084546
32,1024,5,0.13981108266469658,8523,6000.000000084546
32,1024,6,0.13981108266469658,9288,6000.000000084546
32,1024,7,0.13981108266469658,7757,6000.000000084546
32,1024,8,0.13981108266469658,8577,6000.000000084546
32,1024,9,0.13981108266469658,8297,6000.000000084546
32,2048,0,0.13981071999802994,3662,6000.000000084546
32,2048,1,0.13981071999802994,3760,6000.000000084546
32,2048,2,0.13981071999802994,5093,6000.000000084546
32,2048,3,0.13981071999802994,5138,6000.000000084546
32,2048,4,0.13981071999802994,3951,6000.000000084546
32,2048,5,0.13981071999802994,4706,6000.000000084546
